Category number,E-number,Name,Maximum level (mg/l or mg/kg as appropriate),Footnotes,Restrictions/exceptions,Category name
04.2.5.3,E 509,Calcium chloride,quantum satis,,,Other similar fruit or vegetable spreads
04.2.5.3,E 524,Sodium hydroxide,quantum satis,,,Other similar fruit or vegetable spreads
04.2.5.3,E 900,Dimethyl polysiloxane,10,,,Other similar fruit or vegetable spreads
04.2.5.3,E 950,Acesulfame K,1 000,,"only energy-reduced fruit or vegetable spreads and dried-fruit-based sandwich spreads, energy-reduced or with no added sugar",Other similar fruit or vegetable spreads
04.2.5.3,E 951,Aspartame,1 000,,"only energy-reduced fruit or vegetable spreads and dried-fruit-based sandwich spreads, energy-reduced or with no added sugar",Other similar fruit or vegetable spreads
04.2.5.3,E 952,Cyclamic acid and its Na and Ca salts,500,Maximum usable levels are expressed in free acid,"only energy-reduced fruit or vegetable spreads and dried-fruit-based sandwich spreads, energy-reduced or with no added sugar",Other similar fruit or vegetable spreads
04.2.5.3,E 954,"Saccharin and its Na, K and Ca salts",200,Maximum usable levels are expressed in free imide,"only energy-reduced fruit or vegetable spreads and dried-fruit-based sandwich spreads, energy-reduced or with no added sugar",Other similar fruit or vegetable spreads
04.2.5.3,E 955,Sucralose,400,,"only energy-reduced fruit or vegetable spreads and dried-fruit-based sandwich spreads, energy-reduced or with no added sugar",Other similar fruit or vegetable spreads
04.2.5.3,E 959,Neohesperidine DC,50,,"only energy-reduced fruit or vegetable spreads and dried-fruit-based sandwich spreads, energy-reduced or with no added sugar",Other similar fruit or vegetable spreads
04.2.5.3,E 960,Steviol glycosides,200,Expressed as steviol equivalents,"only energy-reduced fruit or vegetable spreads and dried-fruit-based sandwich spreads, energy-reduced or with no added sugar",Other similar fruit or vegetable spreads
04.2.5.3,E 961,Neotame,32,,"only energy-reduced fruit or vegetable spreads and dried-fruit-based sandwich spreads, energy-reduced or with no added sugar",Other similar fruit or vegetable spreads
04.2.5.3,E 962,Salt of aspartame-acesulfame,1 000,"Limits are expressed as (a): acesulfame K equivalent or (b) aspartame equivalent ; The maximum usable levels are derived from the maximum usable levels for its constituent parts, aspartame (E 951): and acesulfame-K (E 950) ; The levels for both E 951 and E 950 are not to be exceeded by use of the salt of aspartame-acesulfame, either alone or in combination with E 950 or E 951","only energy-reduced fruit or vegetable spreads and dried-fruit-based sandwich spreads, energy-reduced or with no added sugar",Other similar fruit or vegetable spreads
04.2.5.3,E 964,Polyglycitol syrup,500 000,,"only energy-reduced or with no added sugar
 Period of application:
 From 29 November 2012",Other similar fruit or vegetable spreads
04.2.5.3,E 969,Advantame,10,,"only dried-fruit-based sandwich spreads, energy-reduced or with no added sugar",Other similar fruit or vegetable spreads
04.2.5.4,Group I,Additives,,,,Nut butters and nut spreads
04.2.5.4,E 310-320,"Propyl gallate, TBHQ and BHA",200,The additives may be added individually or in combination ; Expressed on fat basis,only processed nuts,Nut butters and nut spreads
04.2.5.4,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",5 000,"The additives may be added individually or in combination, The maximum level is expressed as P2O5",only spreadable fats excluding butter,Nut butters and nut spreads
04.2.5.4,E 392,Extracts of rosemary,200,Expressed on fat basis ; As the sum of carnosol and carnosic acid,,Nut butters and nut spreads
04.2.6,Group I,Additives,,,,Processed potato products
04.2.6,E 100,Curcumin,quantum satis,,only dried potato granules and flakes,Processed potato products
04.2.6,E 101,Riboflavins,quantum satis,,only dried potato granules and flakes,Processed potato products
04.2.6,E 160a,Carotenes,quantum satis,,only dried potato granules and flakes,Processed potato products
04.2.6,E 200-202,Sorbic acid - potassium sorbate,2 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only potato dough and pre-fried potato slices,Processed potato products
04.2.6,E 220-228,Sulphur dioxide - sulphites,400,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",only dehydrated potatoes products,Processed potato products
04.2.6,E 220-228,Sulphur dioxide - sulphites,100,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",,Processed potato products
04.2.6,E 310-320,"Propyl gallate, TBHQ and BHA",25,The additives may be added individually or in combination,only dehydrated potatoes,Processed potato products
04.2.6,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",5 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,including pre-fried frozen en deep-frozen potatoes,Processed potato products
04.2.6,E 392,Extracts of rosemary,200,As the sum of carnosol and carnosic acid,only dehydrated potatoes products,Processed potato products
04.2.6,E 426,Soybean hemicellulose,10 000,,only prepacked processed potato products,Processed potato products
05.1,Group I,Additives,,,only energy-reduced or with no added sugar,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,Group IV,Polyols,quantum satis,,only energy-reduced or with no added sugar,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 170,Calcium carbonate,70 000,"E 170, E 500-504, E 524-528 and E 530: 7 % on dry matter, without fat, expressed as potassium carbonates",,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 322,Lecithins,quantum satis,,,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 330,Citric acid,5 000,,,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 334,Tartaric acid (L(+)-),5 000,,,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 414,Gum arabic (acacia gum),quantum satis,,as glazing agent only,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 422,Glycerol,quantum satis,,,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 440,Pectins,quantum satis,,as glazing agent only,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 442,Ammonium phosphatides,10 000,,,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 471,Mono- and diglycerides of fatty acids,quantum satis,,,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 472c,Citric acid esters of mono- and diglycerides of fatty acids,quantum satis,,,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 476,Polyglycerol polyricinoleate,5 000,,,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 492,Sorbitan tristearate,10 000,,,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 500-504,Carbonates,70 000,"E 170, E 500-504, E 524-528 and E 530: 7 % on dry matter, without fat, expressed as potassium carbonates",,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 524-528,Hydroxides,70 000,"E 170, E 500-504, E 524-528 and E 530: 7 % on dry matter, without fat, expressed as potassium carbonates",,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 530,Magnesium oxide,70 000,"E 170, E 500-504, E 524-528 and E 530: 7 % on dry matter, without fat, expressed as potassium carbonates",,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 901,"Beeswax, white and yellow",quantum satis,,as glazing agent only,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 902,Candelilla wax,quantum satis,,as glazing agent only,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 903,Carnauba wax,500,,as glazing agent only,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 904,Shellac,quantum satis,,as glazing agent only,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 950,Acesulfame K,500,,only energy-reduced or with no added sugar,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 951,Aspartame,2 000,,only energy-reduced or with no added sugar,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 954,"Saccharin and its Na, K and Ca salts",500,Maximum usable levels are expressed in free imide,only energy-reduced or with no added sugar,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 955,Sucralose,800,,only energy-reduced or with no added sugar,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 957,Thaumatin,50,,only energy-reduced or with no added sugar,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 959,Neohesperidine DC,100,,only energy-reduced or with no added sugar,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 960,Steviol glycosides,270,Expressed as steviol equivalents,only energy-reduced or with no added sugars,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 961,Neotame,65,,only energy-reduced or with no added sugar,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 962,Salt of aspartame-acesulfame,500,"Limits are expressed as (a): acesulfame K equivalent or (b) aspartame equivalent ; The maximum usable levels are derived from the maximum usable levels for its constituent parts, aspartame (E 951): and acesulfame-K (E 950) ; The levels for both E 951 and E 950 are not to be exceeded by use of the salt of aspartame-acesulfame, either alone or in combination with E 950 or E 951",only energy-reduced or with no added sugar,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 964,Polyglycitol syrup,200 000,,"only energy-reduced or with no added sugar
 Period of application:
 From 29 November 2012",Cocoa and chocolate products as covered by Directive 2000/36/EC
05.1,E 969,Advantame,20,,only energy-reduced or with no added sugars,Cocoa and chocolate products as covered by Directive 2000/36/EC
05.2,Group I,Additives,,,"The substances listed under numbers E 400, E 401, E 402, E 403, E 404, E 406, E 407, 407a, E 410, E 412, E 413, E 414, E 415, E 417, E 418, E 425 and E 440 may not be used in jelly mini-cups, defined, for the purpose of this Regulation, as jelly confectionery of a firm consistence, contained in semi rigid mini-cups or mini-capsules, intended to be ingested in a single bite by exerting pressure on the mini-cups or mini-capsule to project the confectionery into the mouth; E 410, E 412, E 415 E 417 may not be used to produce dehydrated foods intended to rehydrate on ingestion.
 E425 may not be used in jelly confectionery",Other confectionery including breath refreshening microsweets
05.2,Group II,Colours at quantum satis,quantum satis,,"Period of application:
 until 31 July 2014",Other confectionery including breath refreshening microsweets
05.2,Group II,Colours at quantum satis,quantum satis,"Maximum limit for aluminium coming from all aluminium lakes 70 mg/kg. As a derogation to this rule, the maximum limit only for microsweets shall be 40 mg/kg. For the purposes of Article 22 (1): (g) of Regulation (EC) No 1333/2008 that limit shall apply from 1 February 2013","Period of application:
 from 1 August 2014",Other confectionery including breath refreshening microsweets
05.2,Group III,Colours with combined maximum limit,300,The quantities of each of the colours E 122 and E 155 may not exceed 50 mg/kg or mg/l,"except candied fruit and vegetables
 Period of application:
 until 31 July 2014",Other confectionery including breath refreshening microsweets
05.2,Group III,Colours with combined maximum limit,300,"The quantities of each of the colours E 122 and E 155 may not exceed 50 mg/kg or mg/l ; Maximum limit for aluminium coming from all aluminium lakes 70 mg/kg. As a derogation to this rule, the maximum limit only for microsweets shall be 40 mg/kg. For the purposes of Article 22 (1): (g) of Regulation (EC) No 1333/2008 that limit shall apply from 1 February 2013","except candied fruit and vegetables
 Period of application:
 from 1 August 2014",Other confectionery including breath refreshening microsweets
05.2,Group III,Colours with combined maximum limit,200,,"only candied fruit and vegetables
 Period of application:
 until 31 July 2014",Other confectionery including breath refreshening microsweets
05.2,Group III,Colours with combined maximum limit,200,"Maximum limit for aluminium coming from all aluminium lakes 70 mg/kg. As a derogation to this rule, the maximum limit only for microsweets shall be 40 mg/kg. For the purposes of Article 22 (1): (g) of Regulation (EC) No 1333/2008 that limit shall apply from 1 February 2013","only candied fruit and vegetables
 Period of application:
 from 1 August 2014",Other confectionery including breath refreshening microsweets
