Authorised novel food,Conditions under which the novel food may be used,Conditions under which the novel food may be used,Additional specific labelling requirements,Other requirements,Data Protection,footnote
Lycopene oleoresin from tomatoes,Drinks intended to meet the expenditure of intense muscular effort especially for sportsmen,"2,5 mg/100 g",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene oleoresin from tomatoes’,,,
Lycopene oleoresin from tomatoes,Total diet replacement for weight control covered by Regulation (EU) No 609/2013 and meal replacements for weight control,8 mg/meal,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene oleoresin from tomatoes’,,,
Lycopene oleoresin from tomatoes,Breakfast cereals,5 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene oleoresin from tomatoes’,,,
Lycopene oleoresin from tomatoes,Fats and dressings,10 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene oleoresin from tomatoes’,,,
Lycopene oleoresin from tomatoes,Soups other than tomato soups,1 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene oleoresin from tomatoes’,,,
Lycopene oleoresin from tomatoes,Bread (including crispy breads),3 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene oleoresin from tomatoes’,,,
Lycopene oleoresin from tomatoes,Foods for special medical purposes as defined in Regulation (EU) No 609/2013,In accordance with the particular nutritional requirements of the persons for whom the products are intended,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene oleoresin from tomatoes’,,,
Magnesium citrate malate,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Magnesium citrate malate’,,,
Magnesium citrate malate,Food Supplements as defined in Directive 2002/46/EC,,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Magnesium citrate malate’,,,
Magnolia Bark Extract,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Magnolia Bark Extract’,,,
Magnolia Bark Extract,Mints (confectionary products),"0,2 % for breath freshening purposes. Based on a 0,2 % maximum incorporation level and a maximum gum/mint size of 1,5 g each, each gum or mint serving will contain no more than 3 mg of magnolia bark extract.",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Magnolia Bark Extract’,,,
Magnolia Bark Extract,Chewing gum,"0,2 % for breath freshening purposes. Based on a 0,2 % maximum incorporation level and a maximum gum/mint size of 1,5 g each, each gum or mint serving will contain no more than 3 mg of magnolia bark extract.",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Magnolia Bark Extract’,,,
Maize-germ oil high in unsaponifiable matter,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Maize-germ oil extract’,,,
Maize-germ oil high in unsaponifiable matter,Food Supplements as defined in Directive 2002/46/EC,2 g/day,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Maize-germ oil extract’,,,
Maize-germ oil high in unsaponifiable matter,Chewing gum,2 %,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Maize-germ oil extract’,,,
Methylcellulose,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Methylcellulose’,Methylcellulose is not to be used in foods specially prepared for young children,,
Methylcellulose,Edible ices,2 %,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Methylcellulose’,Methylcellulose is not to be used in foods specially prepared for young children,,
Methylcellulose,Flavoured drinks,2 %,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Methylcellulose’,Methylcellulose is not to be used in foods specially prepared for young children,,
Methylcellulose,Flavoured or unflavoured fermented milk products,2 %,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Methylcellulose’,Methylcellulose is not to be used in foods specially prepared for young children,,
Methylcellulose,"Cold desserts (dairy, fat, fruit, cereal, egg-based products)",2 %,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Methylcellulose’,Methylcellulose is not to be used in foods specially prepared for young children,,
Methylcellulose,"Fruit preparations (pulps, purees or compotes)",2 %,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Methylcellulose’,Methylcellulose is not to be used in foods specially prepared for young children,,
Methylcellulose,Soups and broths,2 %,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Methylcellulose’,Methylcellulose is not to be used in foods specially prepared for young children,,
1-Methylnicotinamide chloride,Specified food category,Maximum levels,"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘1- Methylnicotinamide chloride’.
Food supplements containing 1-Methylnicotinamide shall bear the following statement:
This food supplement should be consumed by adults only excluding pregnant and lactating women",,"Authorised on 2 September 2018. This inclusion is based on proprietary scientific evidence and scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283.
Applicant: Pharmena SA, Wolczanska 178, 90 530 Lodz, Poland. During the period of data protection the novel food 1-methylnicotinamide chloride is authorised for placing on the market within the Union only by Pharmena S.A. unless a subsequent applicant obtains authorisation for the novel food without reference to the proprietary scientific evidence or scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283 or with the agreement of Pharmena S.A.
End date of the data protection: 2 September 2023",
1-Methylnicotinamide chloride,Food Supplements as defined in Directive 2002/46/EC for the adult population excluding pregnant and lactating women,58 mg/day,"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘1- Methylnicotinamide chloride’.
Food supplements containing 1-Methylnicotinamide shall bear the following statement:
This food supplement should be consumed by adults only excluding pregnant and lactating women",,"Authorised on 2 September 2018. This inclusion is based on proprietary scientific evidence and scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283.
Applicant: Pharmena SA, Wolczanska 178, 90 530 Lodz, Poland. During the period of data protection the novel food 1-methylnicotinamide chloride is authorised for placing on the market within the Union only by Pharmena S.A. unless a subsequent applicant obtains authorisation for the novel food without reference to the proprietary scientific evidence or scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283 or with the agreement of Pharmena S.A.
End date of the data protection: 2 September 2023",
"(6S)-5-methyltetrahydrofolic acid, glucosamine salt",Specified food category,Maximum levels,"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘(6S)-5-methyltetrahydrofolic acid, glucosamine salt’ or ‘5MTHF-glucosamine’",,,
"(6S)-5-methyltetrahydrofolic acid, glucosamine salt",Food Supplements as defined in Directive 2002/46/EC as a source of folate,,,,,
Monomethylsilanetriol (Organic Silicon),Specified food category,Maximum levels of silicon,The designation of the novel food on the labelling of the food supplements containing it shall be ‘Organic silicon (monomethylsilanetriol)’,,,
